casos_conf_ult_14dias,casos_confirmados_totales,zona_basic,fecha_informe,tasa_inc_acum_ult_14dias,tasa_inc_acum_total
45.0,785,Acacias,2020-11-24,231.576780568135,4039.7282832441297
65.0,1431,Adelfas,2020-11-24,222.84695556774503,4906.06143719144
53.0,1118,Alameda,2020-11-24,249.130393908057,5255.24113941901
72.0,1164,Alameda de Osuna,2020-11-24,248.267301127547,4013.6547015620204
52.0,1208,Alcalde Bartolomé González,2020-11-24,242.119476649439,5624.621688317729
28.0,916,Alcalá de Guadaira,2020-11-24,228.47817217462298,7474.50020399837
89.0,2235,Alcobendas - Chopera,2020-11-24,322.896636795704,8108.696440880891
35.0,1073,Alcocer,2020-11-24,203.618593286404,6242.36430275176
73.0,1312,Algete,2020-11-24,260.351653054674,4679.1968329826295
71.0,1734,Alicante,2020-11-24,284.728905999358,6953.801732435029
32.0,1697,Almendrales,2020-11-24,148.754183711417,7888.620304946079
55.0,648,Alpedrete,2020-11-24,377.358490566038,4445.96912521441
101.0,1718,Alpes,2020-11-24,279.809397163121,4759.53014184397
97.0,1237,Andrés Mellado,2020-11-24,408.335087350032,5207.32477373185
78.0,2042,Ángela Uriarte,2020-11-24,287.812257850264,7534.77731449024
32.0,829,Antonio Leyva,2020-11-24,233.93522918342003,6060.38453103297
62.0,1256,Aquitania,2020-11-24,256.092523750516,5187.9388682362705
101.0,1941,Aranjuez,2020-11-24,229.72296774780497,4414.77505345039
146.0,1561,Aravaca,2020-11-24,401.67271926928595,4294.59667657093
42.0,1104,Arganda del Rey,2020-11-24,193.192272309108,5078.1968721251205
77.0,1527,Arganda - Felicidad,2020-11-24,228.83295194508,4538.024904157629
94.0,1173,Argüelles,2020-11-24,390.025310153106,4867.0179660595
77.0,984,Arroyomolinos,2020-11-24,245.25417250605202,3134.15721747993
46.0,825,Barajas,2020-11-24,261.259726245243,4685.63639461578
97.0,1023,Barcelona,2020-11-24,462.85250751538905,4881.42386792003
42.0,733,Barrio del Puerto,2020-11-24,276.279436916195,4821.73398237074
51.0,647,Baviera,2020-11-24,346.091205211726,4390.60803474484
59.0,915,Benita de Ávila,2020-11-24,303.74794069192797,4710.66721581549
162.0,1756,Boadilla del Monte,2020-11-24,296.866410115448,3217.8852849551
47.0,1126,Brújula,2020-11-24,229.05599688093997,5487.5968614454905
69.0,1245,Buenavista,2020-11-24,310.628910998064,5604.826002791159
57.0,276,Buitrago de Lozoya,2020-11-24,1044.14727972156,5055.87103865177
55.0,971,Bustarviejo,2020-11-24,268.096514745308,4733.1221057762605
53.0,876,Butarque,2020-11-24,281.062735323752,4645.48973855863
14.0,200,Cadalso de los Vidrios,2020-11-24,249.910746162085,3570.1535166012104
41.0,920,Campamento,2020-11-24,269.06418165113496,6037.53773461084
42.0,871,Campo Real,2020-11-24,215.19700773684502,4462.77604139981
60.0,1369,Campo de la Paloma,2020-11-24,314.251296286597,7170.16707693919
97.0,1335,Canal de Panamá,2020-11-24,309.993288805088,4266.40247994631
83.0,1634,Canillejas,2020-11-24,290.545034480344,5719.886582420269
41.0,1032,Carabanchel Alto,2020-11-24,165.169399347379,4157.4346372315995
35.0,1273,Caramuel,2020-11-24,151.74506828528098,5519.18491220464
33.0,645,Carmen Calzado,2020-11-24,211.796418715102,4139.65727488608
30.0,666,Casa de Campo,2020-11-24,231.178238421823,5132.15689296448
47.0,724,Castelló,2020-11-24,299.05828455077597,4606.77017052685
