municipio_distrito,fecha_informe,tasa_inc_acum_ult_14dias,tasa_inc_acum_total,casos_confirmados_totales
Madrid-Salamanca,2020-11-24,313.475332639763,4900.61873733779,7160.0
Madrid-Centro,2020-11-24,243.23682961556702,5175.45681063123,6979.0
Madrid-Arganzuela,2020-11-24,220.411825517058,4889.371468696971,7520.0
Madrid-Chamartín,2020-11-24,272.199329443466,4647.95781938855,6779.0
Madrid-Tetuán,2020-11-24,236.041588882631,5375.79972535644,8495.0
Madrid-Chamberí,2020-11-24,327.88296658750596,4972.05461367925,6930.0
Madrid-Fuencarral-El Pardo,2020-11-24,284.623422881284,4433.21311382091,10903.0
Madrid-Moncloa-Aravaca,2020-11-24,337.46723720681,5121.46308376389,6116.0
Madrid-Latina,2020-11-24,224.58420438422002,5493.707444441649,13087.0
Madrid-Carabanchel,2020-11-24,261.162628062537,6435.82155599192,16289.0
Madrid-Usera,2020-11-24,226.132631081787,6936.403775556209,9693.0
Madrid-Puente de Vallecas,2020-11-24,285.279978880766,8191.367512997271,19238.0
Madrid-San Blas - Canillejas,2020-11-24,259.26066446611304,5063.803417182029,8008.0
Madrid-Barajas,2020-11-24,243.13004392685698,4178.15915823884,2045.0
Madrid-Moratalaz,2020-11-24,255.895104155652,5706.883789785339,5397.0
Madrid-Ciudad Lineal,2020-11-24,279.724806273233,5576.001923397021,12060.0
Madrid-Hortaleza,2020-11-24,295.982187930091,4293.60157715464,8080.0
Madrid-Villaverde,2020-11-24,263.182629946424,6807.16501282344,10139.0
Madrid-Villa de Vallecas,2020-11-24,241.924523173107,5666.65156526073,6254.0
Madrid-Vicálvaro,2020-11-24,264.942919365802,5455.60472180993,3933.0
Pozuelo de Alarcón,2020-11-24,254.564809886372,4240.81831015251,3665.0
Alcorcón,2020-11-24,228.133760277748,4610.17863635831,7861.0
Navalcarnero,2020-11-24,259.403372243839,3478.05310942726,1019.0
San Agustín del Guadalix,2020-11-24,216.757605202183,4776.1417146274,639.0
Las Rozas de Madrid,2020-11-24,252.572692925877,3687.3525789550604,3533.0
Moraleja de Enmedio,2020-11-24,330.996884735203,5880.06230529595,302.0
Valdaracete,2020-11-24,0.0,7553.36617405583,46.0
Pozuelo del Rey,2020-11-24,0.0,1918.0470793374,22.0
Puebla de la Sierra,2020-11-24,0.0,0.0,
Perales de Tajuña,2020-11-24,170.35775127768298,5281.09028960818,155.0
Valdemorillo,2020-11-24,255.631890078287,3251.31810193322,407.0
Navalafuente,2020-11-24,276.052449965493,3726.70807453416,54.0
Velilla de San Antonio,2020-11-24,220.66034651847,4225.237005557371,517.0
Villanueva de la Cañada,2020-11-24,373.047330380042,3786.43040335743,812.0
Villanueva del Pardillo,2020-11-24,372.526193247963,3585.56461001164,616.0
Nuevo Baztán,2020-11-24,175.270873167623,3744.42319949012,235.0
Villamantilla,2020-11-24,693.9625260235949,3816.7938931297704,55.0
Villamanta,2020-11-24,391.389432485323,3874.7553816047,99.0
Cabanillas de la Sierra,2020-11-24,132.275132275132,5952.38095238095,45.0
Cenicientos,2020-11-24,98.3767830791933,4722.08558780128,96.0
Puentes Viejas,2020-11-24,294.55081001472803,3092.78350515464,21.0
Aranjuez,2020-11-24,216.417534853289,4509.53747043133,2688.0
Cercedilla,2020-11-24,185.027042413891,4995.73014517506,351.0
Santorcaz,2020-11-24,451.467268623025,4288.93905191874,38.0
Coslada,2020-11-24,233.89378038476102,5145.66316846475,4202.0
Morata de Tajuña,2020-11-24,169.20473773265698,6247.55954705193,480.0
Robregordo,2020-11-24,0.0,1724.13793103448,
Navarredonda y San Mamés,2020-11-24,0.0,5426.35658914729,7.0
Venturada,2020-11-24,184.92834026814603,4438.28016643551,96.0
Navacerrada,2020-11-24,235.53162853297403,3701.2113055181703,110.0
Montejo de la Sierra,2020-11-24,566.5722379603401,5099.15014164306,18.0
Fresno de Torote,2020-11-24,90.049527239982,2656.46105357947,59.0
Pinilla del Valle,2020-11-24,0.0,523.5602094240841,
Valdemaqueda,2020-11-24,256.081946222791,3072.9833546735,24.0
Navas del Rey,2020-11-24,102.810143934202,4763.536668951339,139.0
Olmeda de las Fuentes,2020-11-24,0.0,2873.5632183908,10.0
Bustarviejo,2020-11-24,119.85617259288901,1598.08230123851,40.0
Becerril de la Sierra,2020-11-24,105.005250262513,3307.66538326916,189.0
Fuenlabrada,2020-11-24,356.22096024780603,5576.148683531229,10801.0
Garganta de los Montes,2020-11-24,576.368876080692,2305.4755043227697,8.0
Pinto,2020-11-24,213.227734836081,3982.78947568823,2092.0
Alameda del Valle,2020-11-24,0.0,1000.0,
Berzosa del Lozoya,2020-11-24,17073.1707317073,23902.4390243902,49.0
Los Santos de la Humosa,2020-11-24,77.2200772200772,3011.5830115830104,78.0
El Álamo,2020-11-24,411.82682154171096,4223.86483632524,400.0
Pelayos de la Presa,2020-11-24,539.291217257319,4969.18335901387,129.0
Galapagar,2020-11-24,411.94949914053706,5073.79526998992,1712.0
Griñón,2020-11-24,310.107568562845,5707.9174338598705,589.0
Gargantilla del Lozoya y Pinilla de Buitrago,2020-11-24,3164.55696202532,6962.0253164557,22.0
Aldea del Fresno,2020-11-24,317.124735729387,5109.231853417899,145.0
Carabaña,2020-11-24,99.502487562189,5472.636815920399,110.0
Talamanca de Jarama,2020-11-24,285.195747990666,4796.47394347939,185.0
Chapinería,2020-11-24,85.9106529209622,2534.36426116838,59.0
Ciempozuelos,2020-11-24,540.826284970722,4712.91476903058,1159.0
Ajalvir,2020-11-24,127.334465195246,2695.2461799660396,127.0
San Lorenzo de El Escorial,2020-11-24,250.42190647286202,3680.11323425336,676.0
Gascones,2020-11-24,0.0,1036.26943005181,
San Martín de la Vega,2020-11-24,255.607720396453,4126.238914971311,791.0
Móstoles,2020-11-24,312.16536637601297,4706.38289735353,9845.0
Leganés,2020-11-24,247.549523072142,5065.28460294637,9617.0
Braojos,2020-11-24,487.80487804878,6829.268292682929,14.0
Cubas de la Sagra,2020-11-24,530.173085919227,5208.17090285358,334.0
Algete,2020-11-24,291.106690602106,4735.33550046092,976.0
Mejorada del Campo,2020-11-24,300.764801924895,4580.2182693134,1066.0
Loeches,2020-11-24,136.503241951996,3947.2187464452295,347.0
Parla,2020-11-24,271.27970243767504,6223.29470351357,8098.0
Fuentidueña de Tajo,2020-11-24,292.25523623964904,5942.52313687287,122.0
Ambite,2020-11-24,506.756756756757,5574.3243243243205,33.0
Torremocha de Jarama,2020-11-24,196.270853778214,3532.87536800785,36.0
Anchuelo,2020-11-24,550.747442958301,2753.7372147915003,35.0
Los Molinos,2020-11-24,136.705399863295,5445.43176122124,239.0
Soto del Real,2020-11-24,181.83884532333198,2761.6774633481105,243.0
Valverde de Alcalá,2020-11-24,0.0,3870.96774193548,18.0
Fuente el Saz de Jarama,2020-11-24,164.277180406213,5256.869772998811,352.0
Horcajo de la Sierra-Aoslos,2020-11-24,0.0,4137.93103448276,6.0
Valdeolmos-Alalpardo,2020-11-24,145.067698259188,3747.58220502901,155.0
Campo Real,2020-11-24,225.44283413848598,5281.80354267311,328.0
Valdeavero,2020-11-24,128.700128700129,2123.55212355212,33.0
Villamanrique de Tajo,2020-11-24,284.495021337127,3556.1877667140798,25.0
Cobeña,2020-11-24,175.013462574044,4523.4248788368295,336.0
Fresnedillas de la Oliva,2020-11-24,254.452926208651,2926.2086513994896,46.0
Valdilecha,2020-11-24,409.137401977497,6205.25059665871,182.0
El Berrueco,2020-11-24,526.315789473684,7236.842105263159,55.0
Pezuela de las Torres,2020-11-24,0.0,2731.59144893112,23.0
Villar del Olmo,2020-11-24,99.4530084535057,3033.3167578319203,61.0
Guadarrama,2020-11-24,237.025948103792,5258.2335329341295,843.0
San Martín de Valdeiglesias,2020-11-24,425.58222012058195,5201.56046814044,440.0
Torrelodones,2020-11-24,274.06501665472,4106.75886494919,974.0
Boadilla del Monte,2020-11-24,296.866410115448,3217.8852849551,1756.0
Torrejón de Velasco,2020-11-24,479.233226837061,4701.04974897307,206.0
Villanueva de Perales,2020-11-24,191.938579654511,1791.4267434421,28.0
Tielmes,2020-11-24,264.150943396226,7018.867924528299,186.0
San Sebastián de los Reyes,2020-11-24,286.7511985304,4995.74353689681,4460.0
Guadalix de la Sierra,2020-11-24,514.966205342774,4119.7296427422,256.0
Humanes de Madrid,2020-11-24,293.775008863901,5956.541559033579,1176.0
Chinchón,2020-11-24,525.229788032264,4295.6293378353,229.0
Cadalso de los Vidrios,2020-11-24,361.961171437973,2731.16156630471,83.0
Hoyo de Manzanares,2020-11-24,414.986957552763,3474.0336732274104,293.0
Torrejón de la Calzada,2020-11-24,439.58521190261496,4790.35166816952,425.0
Estremera,2020-11-24,238.095238095238,3809.5238095238105,48.0
Corpa,2020-11-24,140.252454417952,2384.29172510519,17.0
Meco,2020-11-24,125.830129325411,3082.8381684725605,441.0
Madarcos,2020-11-24,0.0,8333.33333333333,
Zarzalejo,2020-11-24,0.0,4644.149577804579,77.0
Arganda del Rey,2020-11-24,214.844102619654,4750.04062178411,2631.0
Collado Mediano,2020-11-24,330.554757114113,3276.80367921817,228.0
Daganzo de Arriba,2020-11-24,186.183243508084,3145.5169034786895,321.0
Manzanares El Real,2020-11-24,350.67873303167397,3857.4660633484204,341.0
Buitrago del Lozoya,2020-11-24,265.392781316348,4511.67728237792,85.0
Valdelaguna,2020-11-24,426.89434364994696,3842.04909284952,36.0
Valdepiélagos,2020-11-24,856.164383561644,4452.05479452055,26.0
Casarrubuelos,2020-11-24,449.973530968767,4579.142403388039,173.0
Miraflores de la Sierra,2020-11-24,229.20759659462996,3192.5343811394896,195.0
Paracuellos de Jarama,2020-11-24,142.467054493648,3415.25188966718,863.0
El Vellón,2020-11-24,102.145045965271,4954.03472931563,97.0
